H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
0.243488,0.761686,2.91018,2.00661,2.77192,1.54583,0.780267,1.45977,1.9971,0.728841,1316.99
1.13699e-26,2.73701,1.05255e-42,1.61436e-44,4.6561e-49,4.24176e-48,6.58739e-45,7.87589e-54,2.83006e-58,1.335e-101,502.679
1.3111e-86,2.73701,7.03878e-43,2.74439e-102,7.35522e-146,4.3411e-100,5.15926e-97,7.25371e-156,3.00255e-166,1.53703e-255,502.109
2.96411e-230,2.73701,1.15158e-43,1.01435e-206,8.96356e-296,2.5311e-202,3.16777e-201,5.4703e-305,6.38497e-314,0,506.125
0.0804002,2.36725,0.0232642,0.0416546,0.558942,0.00199984,2.16629,0.263589,0.402161,0.00020434,716.874
0.235198,2.44012,0.00014055,0.000146334,0.267334,3.94814e-06,1.88704,0.308788,0.213093,5.07269e-07,605.721
2.82699e-28,2.73701,9.58172e-43,1.13966e-46,2.87048e-51,1.34788e-49,1.59459e-46,4.63624e-56,1.68988e-60,2.49455e-105,504.627
7.33655e-22,2.73701,8.6363e-38,4.82764e-38,2.31395e-42,2.09718e-43,9.26315e-40,4.95126e-47,2.04561e-51,4.18192e-90,500.904
1.31899,1.01342,0.738687,0.950314,1.66382,1.09394,2.02767,1.68621,1.35249,0.846813,1048.8
0.105703,0.942522,4.21487,2.89373,2.15092,1.21102,0.558906,0.76406,2.67191,0.242473,1451.18
1.02052e-11,2.73701,6.25793e-19,5.86103e-19,1.66158e-20,1.24011e-30,6.72658e-22,5.34215e-23,9.45733e-25,2.74289e-53,501.022
1.23729e-103,2.73701,5.58791e-43,3.51553e-111,6.87356e-173,2.69126e-108,8.84659e-106,1.14339e-184,2.92672e-197,1.47664e-292,505.913
1.67603e-57,2.73701,7.12306e-43,3.16306e-78,3.83955e-99,3.52402e-78,7.32903e-74,1.25938e-106,3.76013e-114,2.00208e-184,501.739
0.18832,1.88429,0.257754,0.320434,1.25357,0.0822219,2.54341,0.631759,0.890777,0.0223281,938.704
2.26152e-28,2.73701,1.35131e-42,1.688e-48,8.26521e-54,1.05746e-49,1.94676e-46,3.30657e-59,2.00914e-64,1.4369e-108,502.605
3.92926e-35,2.73701,5.71691e-43,1.52884e-53,3.45466e-61,8.37442e-56,7.39289e-50,2.05244e-66,2.18113e-71,7.19098e-122,505.269
0.000127856,2.73676,5.98544e-05,8.49268e-05,0.000460799,5.74978e-09,0.00118295,0.000101567,0.000338658,2.35275e-13,501.285
1.28221e-27,2.73701,1.70226e-42,6.55756e-48,2.49261e-53,4.50548e-49,1.22356e-45,8.10956e-59,3.83999e-64,1.47217e-107,501.369
0.550007,0.135474,2.66988,4.115,2.44464,3.49341,0.0927731,1.34517,3.81284,0.838643,1685.6
4.59872e-128,2.73701,5.26391e-43,4.84962e-130,4.51874e-210,6.04152e-127,1.39517e-124,1.1983e-223,2.85473e-238,0,504.181
1.18484,0.310141,1.17023,1.00406,2.85354,2.3321,0.524043,2.38148,1.78512,2.12713,1228.92
2.17314e-13,2.73701,9.39987e-22,8.19115e-22,9.54222e-24,1.00009e-33,1.96278e-25,1.49582e-26,1.07817e-28,6.18971e-60,505.522
3.1548e-198,2.73701,1.99326e-43,5.85775e-177,1.78519e-275,5.25164e-173,2.02029e-171,5.24565e-287,8.52266e-299,0,503.097
7.9238e-25,2.73701,2.23169e-42,5.18755e-44,2.60148e-49,2.52329e-46,9.69863e-43,9.10382e-55,4.01064e-60,9.20611e-101,500.133
9.5993e-23,2.73701,3.84995e-39,2.10902e-39,8.15139e-44,4.59134e-44,1.23623e-40,1.53134e-48,5.63622e-53,2.81341e-92,505.317
3.90553e-46,2.73701,1.33464e-42,4.39409e-70,1.10034e-86,1.7183e-67,2.14868e-64,2.06012e-94,2.60326e-102,1.53202e-161,503.456
1.71534e-07,2.73701,1.03994e-09,1.32955e-09,1.98791e-09,6.21133e-17,1.88772e-09,1.62574e-10,1.64612e-10,4.05562e-27,503.258
1.28149,0.640192,0.86208,0.791346,2.36675,1.15288,1.12494,2.15771,1.41309,1.29422,1153.06
4.162e-82,2.73701,7.96902e-43,5.87243e-106,1.9841e-139,3.561e-103,1.32265e-100,5.73746e-149,9.78822e-159,9.10543e-252,501.437
6.57863e-34,2.73701,1.59242e-42,1.02624e-57,7.36354e-65,3.32535e-55,4.77688e-52,4.11113e-71,2.68747e-77,5.4396e-126,505.59
2.65134,0.516039,0.369656,0.384376,1.52665,1.01885,1.38813,2.61636,1.22805,1.92788,997.679
2.30558e-29,2.73701,1.00832e-42,5.11476e-49,4.96564e-54,8.4352e-51,1.16638e-47,3.74583e-59,5.32634e-64,1.26529e-109,501.938
0.286307,1.91694,0.141497,0.189719,1.10682,0.0424319,2.8874,0.683546,0.768272,0.0130029,882.269
4.73349e-18,2.73701,2.90233e-31,1.88579e-31,5.55197e-35,1.65656e-39,7.88181e-36,4.70516e-39,9.72891e-43,3.12365e-78,501.24
1.14499e-21,2.73701,3.90629e-37,2.25608e-37,1.65082e-41,4.04051e-43,1.40876e-39,5.0446e-46,3.2769e-50,8.10125e-89,502.692
2.38459e-77,2.73701,6.92504e-43,5.43182e-95,2.99901e-131,3.13265e-93,7.46864e-90,1.62573e-140,4.41751e-150,2.47854e-233,502.567
0.103845,1.52982,2.10354,1.91695,1.51025,0.807813,1.41492,0.457421,1.90603,0.114452,1196.34
3.30704,0.20821,0.0917922,0.107721,1.57994,0.74177,0.655741,3.21436,1.08687,2.94537,987.764
8.95877e-14,2.73701,1.45204e-19,1.53794e-19,2.36713e-20,1.67854e-27,1.14197e-20,3.47838e-22,4.73169e-23,2.39677e-49,501.789
2.70335e-46,2.73701,1.65371e-42,3.19569e-70,8.86269e-90,1.41735e-67,1.71924e-64,3.2973e-98,5.32265e-107,1.89703e-165,505.816
7.36461e-10,2.73701,1.70721e-15,1.7461e-15,1.434e-16,1.14197e-25,1.26037e-17,1.02469e-18,4.51064e-20,4.77639e-44,506.56
1.1857e-12,2.73701,3.76783e-20,3.46664e-20,7.99348e-22,7.47278e-32,2.91551e-23,2.18901e-24,3.12591e-26,6.54607e-56,505.152
5.69651e-110,2.73701,7.32244e-43,1.14898e-124,2.65181e-183,2.96462e-122,2.46718e-119,2.99897e-195,8.13402e-208,8.05373e-316,503.745
1.56709e-35,2.73701,9.92074e-43,4.06629e-59,2.24994e-65,6.5028e-57,7.12519e-54,2.63927e-71,4.32037e-77,6.90632e-128,501.418
3.43593,0.260401,0.152673,0.174385,1.35566,0.945825,0.871368,3.17247,1.06675,3.05045,945.624
1.52364e-80,2.73701,1.08328e-42,1.12621e-104,2.07854e-145,1.03042e-101,5.23012e-99,1.16915e-156,1.38764e-168,5.11777e-258,501.971
1.32962e-10,2.73701,3.6921e-17,3.64204e-17,1.89865e-18,3.78213e-27,1.29604e-19,9.84543e-21,3.10627e-22,1.5201e-47,501.774
0.696294,1.26986,0.735355,0.783686,1.87022,0.532821,2.08077,1.3559,1.16301,0.347728,1066.83
1.86048,0.526924,0.602362,0.579609,2.1946,1.17912,1.06886,2.34197,1.46627,1.62366,1118.07
0.279812,2.11669,0.0263105,0.0542088,0.824307,0.00685047,3.29121,0.544807,0.543281,0.00161759,778.759
