sfr_eff,uox_eff,bias,lwr_fr,fr_fr,fr_start,excess,max_excess,waste_U,waste_Np,waste_Pu,waste_Am,waste_Cm
0.9,0.99,-0.04130049166659669,2,11,21,-1584440.658731158,0.0,1783460919.004463,157821.1035529406,457246.13158886065,106780.24580168739,30764.59791534513
0.999,0.99,0.002415790139448662,3,14,30,-824157.3253978246,1000.0,2022603180.1597805,175734.44184857205,37342.0297055426,103631.32849268011,34256.50512914707
0.9,0.999,-0.044423979185544575,2,12,22,-1633140.658731158,0.0,1771524478.0100033,157380.15984320026,426142.1359536349,106271.22488196091,30678.6432766558
0.99,0.9,-0.04187522732544216,4,10,33,-1565523.992064491,0.0,2003856830.4770482,172647.83585873453,359744.02903089015,95401.76496635446,33654.82265409995
0.999,0.9,-0.08470106679782435,2,12,33,-2294423.992064492,0.0,1742857986.9156187,151170.20255898143,298951.66332832887,101702.62703459544,29468.115440900627
0.999,0.999,-0.07155943955426403,4,11,36,-2052857.3253978249,0.0,1893172104.4293802,167668.84645445572,5470.744890495001,92426.5231308457,32684.25152261573
0.999,0.999,0.000500456834012078,2,10,27,-868157.3253978244,1000.0,1878388349.627984,164490.37719788527,7687.375324736371,111583.00374836341,32064.66183236948
0.999,0.9,0.029238632129893027,4,10,35,-370157.3253978245,1000.0,2153858995.0785522,185471.9488127066,364322.35441527516,102550.39145022137,36154.67007480615
0.9,0.9,-0.008914301284272202,4,10,20,-1024040.6587311575,359.191968000001,2065049709.4226115,178324.98614924075,587382.6512795811,98785.25059596777,34761.48863260607
0.999,0.99,-0.043058214752538286,1,11,22,-1642140.6587311577,0.0,1464423133.409296,134083.6337285268,33485.923765717074,124115.45906913308,26137.37317647623
0.99,0.99,0.0023103002045551657,4,14,22,-815290.6587311578,1000.0,2077965231.792418,181117.62966435475,58952.54063577037,99689.98188086464,35305.868014889034
0.999,0.9,-0.03117821429122687,2,12,21,-1410023.992064491,0.0,1842086902.8670833,159676.74166745823,315816.8146135426,107809.68249438248,31126.323687022086
0.99,0.99,-0.06629264483065507,2,11,25,-1997673.9920644914,0.0,1743625393.3200266,153870.98280045416,71397.63367157552,103932.17010734636,29994.587606638033
0.999,0.99,-0.030230855514355004,2,10,20,-1397057.3253978249,0.0,1827674808.6129112,159254.17061712133,35433.24217195598,108284.31930428614,31043.950492552856
0.999,0.999,-0.08702178163016415,4,10,25,-2312557.325397824,0.0,1884036099.3150558,164710.84905394082,5396.098097193335,90976.50876676434,32107.639151945103
0.99,0.99,0.02018205767218892,1,11,30,-576507.3253978248,1000.0,1618038253.8508573,143637.4141541936,105537.3756574219,132111.07458261334,27999.72369076323
